Informant,Response
SC8C,little piece
SC8C,a piece
SC8C,little bit
SC9A,a piece
SC9A,a little piece
SC9B,a little ways
SC9B,a little piece
SC9C!,a little ways
SC9C!,a little piece
SC9D!,a little ways
SC10A,a little ways
SC10A,a short distance
SC10B!,a little ways
SC10C!,a little ways
SC11N,a little ways
SC11N,a little distance
SC11M!,a short way
SC11M!,a little piece
SC11A,a short distance off
SC11A,a little ways
SC11B,a little ways
SC11C,a little piece
SC11C,a little way
SC11D,a little way off
SC11E,two looks and a holler
SC11E,a short piece
SC11F,a little ways
SC11F,a little way
SC11G!,a short way
SC11H!,a piece
SC11H!,a little way
SC11H!,a little piece
SC11I!,a little ways
SC11I!,a little way
SC11J!,a short way
SC11J!,a little way
SC12A,a little piece
SC12B,a little ways
SC13,a little ways
SC14A,a little ways
SC14A,a little ways
SC14B,a short distance
SC15A,a piece
SC15A,a little piece
SC15A,a little piece
SC15B,a piece
SC15B,a little piece
SC16N,a little piece
SC17A,a little piece
SC17B,a little piece
SC17B,a piece
SC17D,a piece
SC17D,a short piece
SC18N,a little ways
SC18N,a little piece
SC18A,a little way
SC18B,a little way
SC18C!,a little ways
SC19N,a little ways
SC19N,a little ways
SC19B,a close piece
SC19B,a little piece
SC19B,a little distance
SC19D!,a piece
SC20A,a little ways
SC20B,off a piece
SC20B,a little piece
SC20C,a little piece
SC20C,a piece
SC20C,a short distance
SC20C,a piece
SC20C,a little piece
SC20D!,a little ways
SC21A,a little piece
SC21A,a little ways
SC21A,a little ways
SC21B,a little piece
SC21B,a little ways
SC22A,a short distance
SC22A,a little way
SC22B,a little way
SC22C!,a short way
SC23A,a piece
SC23A,a little piece
SC23A,a little ways
SC23A,a little piece
SC23B,short distance
SC23C,a little ways
SC24A,a ways
SC24A,a little piece
SC24A,a little distance
SC24A,a little piece
SC24B,a little ways
SC24B,a little piece
SC24C,a little ways
SC25A,a little ways
SC25B,a little ways
SC25B,a little bit
SC25B,a short distance
SC25C!,short way
SC25C!,short piece
SC25C!,a piece
SC25C!,short piece
SC26A,a little ways
SC27A,a little piece
SC27A,a little distance
SC27A,a little piece
SC27B,a little piece
SC28A,a short distance
SC28A,a little ways
SC28A,a short ways
SC28B,a little piece
SC28B,a little ways
SC28C,a short ways
SC28D,a little piece
SC28D,a little ways
SC29A,a little bit
SC29A,a little ways
SC29B,a little ways
SC29C,a little piece
SC29C,a piece away
SC29D,a little piece
SC30A,a little ways
SC30B,a little piece
SC30C!,a little way
SC30C!,a short distance
SC30C!,a mile or so
SC31A,little piece
SC31A,a little ways
SC31A,a short distance
SC31B,a little piece
SC32A,a little ways
SC32C,a little ways
SC32D,a little ways
SC33A,a little piece
SC33B,a little piece
SC33B,a little ways
SC34A,a little piece
SC34A,a little ways
SC34B,a little piece
